RESP_Timestamp_Unix_CAL,RESP_Accel_LN_X_CAL,RESP_Accel_LN_Y_CAL,RESP_Accel_LN_Z_CAL,RESP_ECG_EMG_Status1_CAL,RESP_ECG_EMG_Status2_CAL,RESP_ECG_LA-RA_24BIT_CAL,RESP_ECG_LL-LA_24BIT_CAL,RESP_ECG_LL-RA_24BIT_CAL,RESP_ECG_RESP_24BIT_CAL,RESP_ECG_Vx-RL_24BIT_CAL,
ms,m/(s^2),m/(s^2),m/(s^2),no_units,no_units,mV,mV,mV,mV,mV,
1.5958369549945679E12,-2.8260869565217392,4.043478260869565,9.532608695652174,128.0,128.0,-2.835918605635795,2.924676290115868,0.08875768448007319,496.05477444983813,752.6661260127377,
1.5958369550023804E12,-2.8478260869565215,4.0,9.456521739130434,128.0,128.0,-2.7664895176676336,2.8493813096739427,0.08289179200630888,496.0509279629701,752.528998755892,
1.5958369550062866E12,-2.9130434782608696,3.8804347826086953,9.17391304347826,128.0,128.0,-2.758508057416446,2.8628440137120896,0.104335956295644,496.0433311514057,752.5150552409954,
1.5958369550101929E12,-2.9239130434782608,3.902173913043478,9.119565217391305,128.0,128.0,-2.748411029387835,2.854093256087294,0.10568222669945876,496.0315993664582,752.3366744124899,
1.595836955014099E12,-2.934782608695652,3.9565217391304346,9.16304347826087,128.0,128.0,-2.7063881603544746,2.8264947128090916,0.12010655245461692,496.04717763827375,752.5725602196726,
1.5958369550180054E12,-2.891304347826087,3.967391304347826,9.16304347826087,128.0,128.0,-2.6887904829331815,2.7932226014005264,0.10443211846734506,496.04525439483973,752.7024753136407,
1.5958369550219116E12,-2.858695652173913,3.9891304347826084,9.130434782608695,128.0,128.0,-2.647344586930027,2.776586545696244,0.12924195876621708,496.0242910414089,752.7987336475135,
1.5958369550258179E12,-2.8152173913043477,4.010869565217392,9.119565217391305,128.0,128.0,-2.5952246898680555,2.732832757572264,0.13760806770420883,496.04640834090014,752.6721842295549,
1.595836955029724E12,-2.782608695652174,3.9782608695652173,9.141304347826086,128.0,128.0,-2.5581060915914486,2.712157890656538,0.15405179906508912,496.0538128281211,752.4713014528713,
1.5958369550336304E12,-2.717391304347826,3.9782608695652173,9.16304347826087,128.0,128.0,-2.538104359877629,2.7053303764657626,0.16722601658813357,496.04688915175865,752.6601639580922,
1.5958369550375366E12,-2.6956521739130435,3.902173913043478,9.315217391304348,128.0,128.0,-2.523006898920564,2.691194537225708,0.1681876383051441,496.0524665577173,752.6395852533482,
1.5958369550414429E12,-2.619565217391304,3.6630434782608696,9.543478260869565,128.0,128.0,-2.465309595899931,2.6356128019824983,0.1703032060825673,496.03602282635643,752.7359397493926,
1.595836955045349E12,-2.6630434782608696,4.184782608695652,9.032608695652174,128.0,128.0,-2.4431922964086885,2.6133031781478535,0.1701108817391652,496.043234989234,752.5547702179078,
1.5958369550492554E12,-2.6739130434782608,4.58695652173913,8.880434782608695,128.0,128.0,-2.431556673632861,2.611668421228936,0.18011174759607484,496.0356381776696,752.4299517190399,
1.5958369550531616E12,-2.641304347826087,4.5978260869565215,8.695652173913043,128.0,128.0,-2.3680896403101652,2.589166473050889,0.221076832740724,496.0430426648906,752.6174679538569,
1.5958369550570679E12,-2.532608695652174,4.543478260869565,8.695652173913043,128.0,128.0,-2.3573194770796473,2.5598370106820676,0.20251753360242053,496.0437158000925,752.6077555745152,
1.595836955060974E12,-2.391304347826087,4.510869565217392,8.815217391304348,128.0,128.0,-2.3161620675915957,2.5353156568982986,0.21915358930670292,496.0494855303946,752.7075719087409,
1.5958369550648804E12,-2.2282608695652173,4.380434782608695,8.978260869565217,128.0,128.0,-2.2914483894644246,2.5109866274579318,0.21953823799350716,496.0445812596378,752.5963122760827,
1.5958369550687866E12,-2.2282608695652173,4.184782608695652,9.065217391304348,128.0,128.0,-2.2714466577506056,2.500504950742517,0.22905829299191152,496.0425618540321,752.3837938766234,
1.5958369550726929E12,-2.2717391304347827,4.076086956521739,9.108695652173912,128.0,128.0,-2.253368169470807,2.5087748975088076,0.2554067280380004,496.03977315105277,752.5825610855295,
1.595836955076599E12,-2.217391304347826,4.141304347826087,9.206521739130434,128.0,128.0,-2.268657954771275,2.5240646828092754,0.2554067280380004,496.04535055701143,752.5585205426042,
1.5958369550805054E12,-1.8695652173913042,5.25,9.695652173913043,128.0,128.0,-2.2525027099254977,2.5119482491749423,0.25944553924944475,496.0519857468588,752.6749729325342,
1.5958369550844116E12,-2.3260869565217392,4.771739130434782,9.58695652173913,128.0,128.0,-2.294814065473962,2.5290651157377306,0.23425105026376847,496.0504471521116,752.3096528422419,
1.5958369550883179E12,-2.760869565217391,3.9891304347826084,9.41304347826087,128.0,128.0,-2.3272207173372172,2.5749344716391334,0.24771375430191608,496.04708147610205,752.0269360574408,
1.595836955092224E12,-2.934782608695652,3.608695652173913,9.206521739130434,128.0,128.0,-2.3402026105168594,2.590897392141508,0.25069478162464875,496.04804309781906,752.3020560306775,
1.5958369550961304E12,-3.010869565217391,3.5217391304347827,8.98913043478261,128.0,128.0,-2.448000404993741,2.6865787529840572,0.2385783479903159,496.0427541783755,752.4444722069668,
1.5958369551000366E12,-3.010869565217391,3.5543478260869565,8.902173913043478,128.0,128.0,-2.489350138825195,2.6856171312670467,0.196266992441852,496.0512164494852,752.5995817899205,
1.5958369551039429E12,-2.9891304347826084,3.5978260869565215,8.967391304347826,128.0,128.0,-2.5452203605835075,2.726293729896593,0.1810733693130854,496.0406386105981,752.7101682873767,
